FID;ID_Indicat;Nom_Indica;Departamen;Departam_1;Municipaly;Municipali;Categoria_;Categoria1;Aglomeraci;Función_S;Shape__Area;Shape__Length
627;12It12;Rurality level;68;Santander;68344;Hato;Rural;Rural Disperso;Fuera SC;Fuera SC;170582807.7;54304.91715
628;12It12;Rurality level;68;Santander;68368;Jesús María;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;86265362.91;58401.60135
629;12It12;Rurality level;76;Valle del Cauca;76001;Cali;Ciudades y aglomeraciones;Nodo;A-Cali;Centro aglomeración - Nodo;563278832.1;101482.1578
630;12It12;Rurality level;76;Valle del Cauca;76036;Andalucía;Intermedio;Aglomeracion Tuluá;A-Tuluá;En aglomeración;113295570.8;56029.50175
631;12It12;Rurality level;76;Valle del Cauca;76041;Ansermanuevo;Intermedio;intermedio;Fuera SC;Fuera SC;308392478.6;85382.08606
632;12It12;Rurality level;76;Valle del Cauca;76054;Argelia;Intermedio;intermedio;Fuera SC;Fuera SC;93541077.87;44425.22928
633;12It12;Rurality level;76;Valle del Cauca;76111;Guadalajara de Buga;Ciudades y aglomeraciones;Función Subregional;SA-Cali-Norte Valle;Uninodal;836301121.3;174328.0767
634;12It12;Rurality level;76;Valle del Cauca;76318;Guacarí;Intermedio;intermedio;Fuera SC;Fuera SC;160228104.7;67129.26089
635;12It12;Rurality level;76;Valle del Cauca;76020;Alcalá;Intermedio;intermedio;Fuera SC;Fuera SC;70490731.46;40408.63857
636;12It12;Rurality level;76;Valle del Cauca;76497;Obando;Intermedio;intermedio;Fuera SC;Fuera SC;217315622.7;60260.81697
637;12It12;Rurality level;76;Valle del Cauca;76520;Palmira;Ciudades y aglomeraciones;Aglomeración;SA-Cali-Norte Valle;Uninodal;1021342609;177663.7606
638;12It12;Rurality level;76;Valle del Cauca;76563;Pradera;Ciudades y aglomeraciones;Aglomeración Cali;A-Cali;En aglomeración;354106580.9;90218.44995
639;12It12;Rurality level;76;Valle del Cauca;76606;Restrepo;Intermedio;intermedio;Fuera SC;Fuera SC;141188433.7;47686.62755
640;12It12;Rurality level;76;Valle del Cauca;76616;Riofrío;Rural;intermedio;Fuera SC;Fuera SC;308705280.1;83624.31532
641;12It12;Rurality level;76;Valle del Cauca;76622;Roldanillo;Intermedio;intermedio;Fuera SC;Fuera SC;235572210.2;74786.56753
642;12It12;Rurality level;76;Valle del Cauca;76670;San Pedro;Intermedio;intermedio;Fuera SC;Fuera SC;205020506.8;64732.46844
643;12It12;Rurality level;76;Valle del Cauca;76736;Sevilla;Intermedio;intermedio;Fuera SC;Fuera SC;542562670.8;163457.499
644;12It12;Rurality level;76;Valle del Cauca;76823;Toro;Intermedio;intermedio;Fuera SC;Fuera SC;176649417.9;59920.93311
645;12It12;Rurality level;76;Valle del Cauca;76828;Trujillo;Intermedio;intermedio;Fuera SC;Fuera SC;309914776.5;79853.45371
646;12It12;Rurality level;76;Valle del Cauca;76834;Tuluá;Ciudades y aglomeraciones;Nodo;A-Tuluá;Centro aglomeración;915469031.2;167826.1014
647;12It12;Rurality level;76;Valle del Cauca;76845;Ulloa;Intermedio;intermedio;Fuera SC;Fuera SC;39273636.96;39750.3895
648;12It12;Rurality level;76;Valle del Cauca;76863;Versalles;Rural;Rural;Fuera SC;Fuera SC;201303360.8;73807.34402
649;12It12;Rurality level;76;Valle del Cauca;76869;Vijes;Ciudades y aglomeraciones;Aglomeración Cali;A-Cali;En aglomeración;110070053.4;53207.82086
650;12It12;Rurality level;76;Valle del Cauca;76890;Yotoco;Rural;Rural;Fuera SC;Fuera SC;336495759.5;96355.87987
651;12It12;Rurality level;76;Valle del Cauca;76892;Yumbo;Ciudades y aglomeraciones;Aglomeración Cali;A-Cali;En aglomeración;230994475.1;66765.13075
652;12It12;Rurality level;76;Valle del Cauca;76895;Zarzal;Intermedio;intermedio;Fuera SC;Fuera SC;372044916.4;97265.30734
653;12It12;Rurality level;76;Valle del Cauca;76403;La Victoria;Rural;Rural;Fuera SC;Fuera SC;271718054.8;70666.5971
654;12It12;Rurality level;76;Valle del Cauca;76400;La Unión;Intermedio;intermedio;Fuera SC;Fuera SC;122627355.8;51513.24722
655;12It12;Rurality level;76;Valle del Cauca;76377;La Cumbre;Rural;Rural;Fuera SC;Fuera SC;264205708.9;93557.6136
656;12It12;Rurality level;76;Valle del Cauca;76364;Jamundí;Ciudades y aglomeraciones;Aglomeración Cali;A-Cali;En aglomeración;629333567.5;119379.0849
657;12It12;Rurality level;81;Arauca;81001;Arauca;Intermedio;Intermedio;SA-Otros SC;Uninodal;5881121206;406629.4149
658;12It12;Rurality level;81;Arauca;81591;Puerto Rondón;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;2307991469;234049.3571
659;12It12;Rurality level;81;Arauca;81220;Cravo Norte;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;5290712332;378204.6683
660;12It12;Rurality level;81;Arauca;81065;Arauquita;Rural;Rural Disperso;Fuera SC;Fuera SC;3106037436;283086.8839
661;12It12;Rurality level;52;Nariño;52683;Sandoná;Intermedio;intermedio;Fuera SC;Fuera SC;104001966.2;49015.73078
662;12It12;Rurality level;52;Nariño;52685;San Bernardo;Intermedio;intermedio;Fuera SC;Fuera SC;65956376.28;42389.1906
663;12It12;Rurality level;52;Nariño;52687;San Lorenzo;Rural;Rural;Fuera SC;Fuera SC;248097635.3;70780.52261
664;12It12;Rurality level;52;Nariño;52560;Potosí;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;392566595.9;126111.5444
665;12It12;Rurality level;52;Nariño;52693;San Pablo;Intermedio;intermedio;Fuera SC;Fuera SC;114672400.6;48894.20705
666;12It12;Rurality level;52;Nariño;52565;Providencia;Intermedio;intermedio;Fuera SC;Fuera SC;38421390.46;31523.65194
667;12It12;Rurality level;52;Nariño;52694;San Pedro de Cartago;Intermedio;intermedio;Fuera SC;Fuera SC;52444099.74;33111.10564
668;12It12;Rurality level;52;Nariño;52573;Puerres;Rural;Rural;Fuera SC;Fuera SC;353893785.6;118728.8057
669;12It12;Rurality level;52;Nariño;52699;Santacruz;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;532956424.3;115375.7684
670;12It12;Rurality level;52;Nariño;52585;Pupiales;Intermedio;intermedio;Fuera SC;Fuera SC;125317651.2;51299.38782
671;12It12;Rurality level;52;Nariño;52678;Samaniego;Intermedio;Rural;Fuera SC;Fuera SC;604452233.9;143035.3941
672;12It12;Rurality level;52;Nariño;52207;Consaca;Rural;intermedio;Fuera SC;Fuera SC;120296249.2;47411.50609
673;12It12;Rurality level;52;Nariño;52210;Contadero;Intermedio;intermedio;Fuera SC;Fuera SC;42278908.88;30614.76666
674;12It12;Rurality level;52;Nariño;52215;Córdoba;Rural Disperso;Rural;Fuera SC;Fuera SC;299699240.1;113911.2986
675;12It12;Rurality level;52;Nariño;52001;Pasto;Ciudades y aglomeraciones;Nodo;A-Pasto;Centro aglomeración - Nodo;1115649416;174177.2386
676;12It12;Rurality level;52;Nariño;52019;Albán;Intermedio;intermedio;Fuera SC;Fuera SC;37223804.96;30476.28178
677;12It12;Rurality level;52;Nariño;52022;Aldana;Rural;intermedio;Fuera SC;Fuera SC;46311926.5;35348.05204
678;12It12;Rurality level;52;Nariño;52224;Cuaspud;Intermedio;intermedio;Fuera SC;Fuera SC;52965251.36;34907.92727
679;12It12;Rurality level;52;Nariño;52036;Ancuyá;Rural;intermedio;Fuera SC;Fuera SC;68655846.18;36865.64276
680;12It12;Rurality level;52;Nariño;52051;Arboleda;Intermedio;intermedio;Fuera SC;Fuera SC;58301836.14;35744.05277
681;12It12;Rurality level;52;Nariño;52083;Belén;Intermedio;intermedio;Fuera SC;Fuera SC;46627963.11;26123.11939
682;12It12;Rurality level;52;Nariño;52110;Buesaco;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;643958997.8;114171.0581
683;12It12;Rurality level;52;Nariño;52203;Colón;Intermedio;intermedio;Fuera SC;Fuera SC;57082044.65;34409.62444
684;12It12;Rurality level;52;Nariño;52480;Nariño;Ciudades y aglomeraciones;Aglomeración Pasto;A-Pasto;En aglomeración;23658460.24;25318.92551
685;12It12;Rurality level;52;Nariño;52506;Ospina;Intermedio;intermedio;Fuera SC;Fuera SC;59820787.4;30982.2531
686;12It12;Rurality level;52;Nariño;52720;Sapuyes;Rural Disperso;Rural;Fuera SC;Fuera SC;118687513.8;59198.91717
687;12It12;Rurality level;52;Nariño;52786;Taminango;Rural;Rural;Fuera SC;Fuera SC;236923591.2;57883.81677
688;12It12;Rurality level;52;Nariño;52788;Tangua;Rural Disperso;Rural;Fuera SC;Fuera SC;210691744.1;70148.37824
689;12It12;Rurality level;52;Nariño;52240;Chachagüí;Intermedio;intermedio;Fuera SC;Fuera SC;144564477.5;64973.54799
690;12It12;Rurality level;52;Nariño;52254;El Peñol;Rural;Rural;Fuera SC;Fuera SC;123650033.4;49862.87482
691;12It12;Rurality level;52;Nariño;52258;El Tablón de Gómez;Rural;Rural Disperso;Fuera SC;Fuera SC;312108407.8;79949.90931
692;12It12;Rurality level;52;Nariño;52838;Túquerres;Intermedio;intermedio;Fuera SC;Fuera SC;217354051.4;72116.05738
693;12It12;Rurality level;52;Nariño;52411;Linares;Rural;Rural;Fuera SC;Fuera SC;136818876.1;54360.66656
694;12It12;Rurality level;52;Nariño;52885;Yacuanquer;Rural;intermedio;Fuera SC;Fuera SC;102301922.5;46088.95172
695;12It12;Rurality level;52;Nariño;52435;Mallama;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;573079858.9;118378.8273
696;12It12;Rurality level;52;Nariño;52378;La Cruz;Intermedio;intermedio;Fuera SC;Fuera SC;239453351.9;65439.39122
697;12It12;Rurality level;52;Nariño;52381;La Florida;Rural;Rural;Fuera SC;Fuera SC;134415124.6;77952.20835
698;12It12;Rurality level;52;Nariño;52260;El Tambo;Rural;intermedio;Fuera SC;Fuera SC;247722188.4;76584.55677
699;12It12;Rurality level;52;Nariño;52287;Funes;Rural;Rural;Fuera SC;Fuera SC;402927006.8;122409.4283
700;12It12;Rurality level;52;Nariño;52317;Guachucal;Rural;intermedio;Fuera SC;Fuera SC;156475442.4;64754.78792
701;12It12;Rurality level;52;Nariño;52399;La Unión;Intermedio;intermedio;Fuera SC;Fuera SC;146639116;72145.8043
702;12It12;Rurality level;52;Nariño;52320;Guaitarilla;Intermedio;intermedio;Fuera SC;Fuera SC;116426435.8;47400.24724
703;12It12;Rurality level;52;Nariño;52405;Leiva;Rural;Rural;Fuera SC;Fuera SC;316557706.4;106025.5399
704;12It12;Rurality level;52;Nariño;52323;Gualmatán;Intermedio;intermedio;Fuera SC;Fuera SC;30481363.82;23058.39826
705;12It12;Rurality level;52;Nariño;52352;Iles;Intermedio;Rural;Fuera SC;Fuera SC;83431213.5;39813.72248
706;12It12;Rurality level;52;Nariño;52354;Imués;Rural;Rural;Fuera SC;Fuera SC;80704812.8;38836.61611
707;12It12;Rurality level;52;Nariño;52356;Ipiales;Ciudades y aglomeraciones;Función Subregional;SA-Otros SC;Uninodal;1588289135;258756.6534
708;12It12;Rurality level;17;Caldas;17001;Manizales;Ciudades y aglomeraciones;Nodo;A-Manizales;Centro aglomeración;442800673.5;118257.012
709;12It12;Rurality level;17;Caldas;17013;Aguadas;Rural;Rural;Fuera SC;Fuera SC;479832441.1;128737.4863
710;12It12;Rurality level;17;Caldas;17486;Neira;Intermedio;intermedio;Fuera SC;Fuera SC;377199554.5;117644.9575
711;12It12;Rurality level;17;Caldas;17446;Marulanda;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;387856264;115071.9344
712;12It12;Rurality level;17;Caldas;17444;Marquetalia;Intermedio;intermedio;Fuera SC;Fuera SC;85102316.66;44597.32849
713;12It12;Rurality level;17;Caldas;17442;Marmato;Intermedio;intermedio;Fuera SC;Fuera SC;41103881.87;27073.93519
714;12It12;Rurality level;17;Caldas;17433;Manzanares;Intermedio;intermedio;Fuera SC;Fuera SC;204060397.8;60951.01524
715;12It12;Rurality level;17;Caldas;17388;La Merced;Intermedio;intermedio;Fuera SC;Fuera SC;93739826.7;43741.01968
716;12It12;Rurality level;17;Caldas;17380;La Dorada;Intermedio;intermedio;Fuera SC;Fuera SC;556848081.4;152149.0963
717;12It12;Rurality level;17;Caldas;17272;Filadelfia;Intermedio;intermedio;Fuera SC;Fuera SC;194923151.6;58655.05806
718;12It12;Rurality level;17;Caldas;17174;Chinchiná;Intermedio;intermedio;Fuera SC;Fuera SC;116912313.4;66697.13261
719;12It12;Rurality level;17;Caldas;17088;Belalcázar;Intermedio;intermedio;Fuera SC;Fuera SC;115791185.8;48373.16924
720;12It12;Rurality level;17;Caldas;17050;Aranzazu;Intermedio;intermedio;Fuera SC;Fuera SC;144825301.2;63249.49099
721;12It12;Rurality level;17;Caldas;17042;Anserma;Intermedio;intermedio;Fuera SC;Fuera SC;208988883.1;78800.55529
722;12It12;Rurality level;17;Caldas;17495;Norcasia;Rural;Rural;Fuera SC;Fuera SC;238131272.2;83582.39651
723;12It12;Rurality level;17;Caldas;17877;Viterbo;Intermedio;intermedio;Fuera SC;Fuera SC;114365309.5;55666.48645
724;12It12;Rurality level;17;Caldas;17873;Villamaría;Ciudades y aglomeraciones;Aglomeración Manizales;A-Manizales;En aglomeración;455993391.5;104510.1743
725;12It12;Rurality level;17;Caldas;17867;Victoria;Rural;Rural;Fuera SC;Fuera SC;568209997.8;115079.9563
726;12It12;Rurality level;17;Caldas;17777;Supía;Intermedio;intermedio;Fuera SC;Fuera SC;121001435.7;52115.19927
727;12It12;Rurality level;17;Caldas;17665;San José;Intermedio;Rural;Fuera SC;Fuera SC;59213285.89;37492.90352
728;12It12;Rurality level;17;Caldas;17662;Samaná;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;763491537.3;149603.6941
729;12It12;Rurality level;17;Caldas;17653;Salamina;Rural;intermedio;Fuera SC;Fuera SC;397011854;101813.0564
730;12It12;Rurality level;17;Caldas;17616;Risaralda;Intermedio;intermedio;Fuera SC;Fuera SC;93372025.07;53651.05768
731;12It12;Rurality level;17;Caldas;17541;Pensilvania;Rural;Rural;Fuera SC;Fuera SC;511517106.1;120363.9144
732;12It12;Rurality level;17;Caldas;17524;Palestina;Intermedio;intermedio;Fuera SC;Fuera SC;113358741.5;49555.39025
733;12It12;Rurality level;17;Caldas;17513;Pácora;Rural;intermedio;Fuera SC;Fuera SC;260837483.7;73865.16696
734;12It12;Rurality level;18;Caquetá;18001;Florencia;Ciudades y aglomeraciones;Aglomeración;SA-Otros SC;Uninodal;2563799995;253096.0774
735;12It12;Rurality level;18;Caquetá;18029;Albania;Rural;Rural;Fuera SC;Fuera SC;415476302.4;90717.48768
736;12It12;Rurality level;18;Caquetá;18094;Belén de Los Andaquies;Rural;Rural Disperso;Fuera SC;Fuera SC;1205912198;193205.2187
737;12It12;Rurality level;18;Caquetá;18247;El Doncello;Rural;Rural;Fuera SC;Fuera SC;1111338515;275791.4149
738;12It12;Rurality level;18;Caquetá;18256;El Paujil;Rural;Rural;Fuera SC;Fuera SC;1242996588;311389.2053
739;12It12;Rurality level;18;Caquetá;18410;La Montañita;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;1706395617;275454.4349
740;12It12;Rurality level;18;Caquetá;18460;Milán;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;1234249473;158941.0943
741;12It12;Rurality level;18;Caquetá;18479;Morelia;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;467326248.9;116628.5526
742;12It12;Rurality level;85;Casanare;85001;Yopal;Ciudades y aglomeraciones;Aglomeración;SA-Otros SC;Uninodal;2519985091;236800.3899
743;12It12;Rurality level;85;Casanare;85010;Aguazul;Intermedio;intermedio;Fuera SC;Fuera SC;1459166615;187784.6108
744;12It12;Rurality level;85;Casanare;85015;Chameza;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;310321083.3;98363.95342
745;12It12;Rurality level;85;Casanare;85136;La Salina;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;199086485.1;80966.03119
746;12It12;Rurality level;85;Casanare;85139;Maní;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;3802473806;320599.0308
747;12It12;Rurality level;85;Casanare;85162;Monterrey;Rural;Rural;Fuera SC;Fuera SC;792731780.1;133065.0339
748;12It12;Rurality level;85;Casanare;85225;Nunchía;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;1110936826;169385.9193
749;12It12;Rurality level;85;Casanare;85230;Orocué;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;4809485566;369171.9147
750;12It12;Rurality level;85;Casanare;85263;Pore;Rural;Rural;Fuera SC;Fuera SC;781898026.2;142168.9016
751;12It12;Rurality level;85;Casanare;85279;Recetor;Rural;Rural Disperso;Fuera SC;Fuera SC;180857145.1;62755.3483
752;12It12;Rurality level;85;Casanare;85300;Sabanalarga;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;403613192.4;109097.3524
753;12It12;Rurality level;85;Casanare;85315;Sácama;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;323764179.3;107783.2303
754;12It12;Rurality level;85;Casanare;85325;San Luis de Palenque;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;3038461233;400260.4789
755;12It12;Rurality level;85;Casanare;85400;Támara;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;1108689681;172941.3292
756;12It12;Rurality level;85;Casanare;85410;Tauramena;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;2419655691;336251.6492
757;12It12;Rurality level;85;Casanare;85430;Trinidad;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;3007417879;344093.424
758;12It12;Rurality level;85;Casanare;85440;Villanueva;Rural;intermedio;Fuera SC;Fuera SC;851813430;159594.6425
759;12It12;Rurality level;19;Cauca;19001;Popayán;Ciudades y aglomeraciones;Aglomeración;SA-Otros SC;Uninodal;478293239.2;118910.7436
760;12It12;Rurality level;19;Cauca;19022;Almaguer;Rural;Rural;Fuera SC;Fuera SC;239623873.2;69554.65264
761;12It12;Rurality level;19;Cauca;19050;Argelia;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;779122046.2;120402.696
762;12It12;Rurality level;19;Cauca;19075;Balboa;Rural;Rural;Fuera SC;Fuera SC;412410567.1;90933.68212
763;12It12;Rurality level;19;Cauca;19100;Bolívar;Rural;Rural Disperso;Fuera SC;Fuera SC;805972344.8;164551.2224
764;12It12;Rurality level;19;Cauca;19110;Buenos Aires;Rural;Rural;Fuera SC;Fuera SC;433493973.2;137122.8681
765;12It12;Rurality level;19;Cauca;19130;Cajibío;Rural;Rural;Fuera SC;Fuera SC;552456824.9;109855.0858
766;12It12;Rurality level;19;Cauca;19137;Caldono;Rural;intermedio;Fuera SC;Fuera SC;356977128.7;95881.8
767;12It12;Rurality level;19;Cauca;19142;Caloto;Rural;intermedio;Fuera SC;Fuera SC;264787409.4;113248.337
768;12It12;Rurality level;19;Cauca;19212;Corinto;Intermedio;intermedio;Fuera SC;Fuera SC;328790322.6;80058.68265
769;12It12;Rurality level;19;Cauca;19290;Florencia;Intermedio;Rural;Fuera SC;Fuera SC;55395760.97;33816.646
770;12It12;Rurality level;19;Cauca;19300;Guachené;Intermedio;intermedio;Fuera SC;Fuera SC;103135730.8;45702.87044
771;12It12;Rurality level;19;Cauca;19355;Inzá;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;870970486.6;144296.9389
772;12It12;Rurality level;19;Cauca;19364;Jambaló;Rural;Rural;Fuera SC;Fuera SC;232847071;81249.07083
773;12It12;Rurality level;19;Cauca;19392;La Sierra;Rural;Rural;Fuera SC;Fuera SC;204292849.9;80822.23011
774;12It12;Rurality level;19;Cauca;19397;La Vega;Rural;Rural Disperso;Fuera SC;Fuera SC;515048844;104885.3046
775;12It12;Rurality level;19;Cauca;19450;Mercaderes;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;704501761.8;112197.0378
776;12It12;Rurality level;19;Cauca;19455;Miranda;Intermedio;intermedio;Fuera SC;Fuera SC;193718773;90090.47083
777;12It12;Rurality level;19;Cauca;19473;Morales;Rural;Rural;Fuera SC;Fuera SC;523254645.4;133867.8901
778;12It12;Rurality level;19;Cauca;19513;Padilla;Ciudades y aglomeraciones;Aglomeración Cali;A-Cali;En aglomeración;67748940.02;35780.44993
779;12It12;Rurality level;19;Cauca;19517;Paez;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;1816444581;224460.4337
780;12It12;Rurality level;19;Cauca;19532;Patía;Rural;Rural;Fuera SC;Fuera SC;753834127.8;149205.4933
781;12It12;Rurality level;19;Cauca;19533;Piamonte;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;1099167339;240660.7051
782;12It12;Rurality level;19;Cauca;19548;Piendamó;Intermedio;intermedio;Fuera SC;Fuera SC;182332448.4;83023.34225
783;12It12;Rurality level;19;Cauca;19573;Puerto Tejada;Ciudades y aglomeraciones;Aglomeración Cali;A-Cali;En aglomeración;115666754.5;46656.03705
784;12It12;Rurality level;19;Cauca;19585;Puracé;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;856424998.9;173751.944
785;12It12;Rurality level;19;Cauca;19622;Rosas;Intermedio;Rural;Fuera SC;Fuera SC;170616555;63463.60931
786;12It12;Rurality level;19;Cauca;19693;San Sebastián;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;419067949.6;106202.5748
787;12It12;Rurality level;19;Cauca;19698;Santander de Quilichao;Intermedio;intermedio;Fuera SC;Fuera SC;524405777.1;105129.0556
788;12It12;Rurality level;19;Cauca;19701;Santa Rosa;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;3640064006;320174.2569
789;12It12;Rurality level;19;Cauca;19743;Silvia;Rural;Rural;Fuera SC;Fuera SC;678112729.8;121679.7407
790;12It12;Rurality level;19;Cauca;19760;Sotara;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;527916710.2;123699.7681
791;12It12;Rurality level;19;Cauca;19780;Suárez;Rural;Rural;Fuera SC;Fuera SC;395662863.9;96469.72182
792;12It12;Rurality level;19;Cauca;19785;Sucre;Rural;Rural;Fuera SC;Fuera SC;140633094.6;62583.68543
793;12It12;Rurality level;19;Cauca;19807;Timbío;Intermedio;intermedio;Fuera SC;Fuera SC;195182199.4;80352.24794
794;12It12;Rurality level;19;Cauca;19821;Toribio;Rural;Rural;Fuera SC;Fuera SC;498994032;94807.86809
795;12It12;Rurality level;19;Cauca;19824;Totoró;Rural;Rural;Fuera SC;Fuera SC;412275468.8;110300.2899
796;12It12;Rurality level;19;Cauca;19845;Villa Rica;Ciudades y aglomeraciones;Aglomeración Cali;A-Cali;En aglomeración;77349232.51;44496.10759
797;12It12;Rurality level;20;Cesar;20011;Aguachica;Intermedio;intermedio;Fuera SC;Fuera SC;906274634.6;182721.6452
798;12It12;Rurality level;20;Cesar;20032;Astrea;Rural;Rural;Fuera SC;Fuera SC;668375812.2;114170.7452
799;12It12;Rurality level;20;Cesar;20060;Bosconia;Intermedio;intermedio;Fuera SC;Fuera SC;607312125.7;107137.9591
800;12It12;Rurality level;20;Cesar;20175;Chimichagua;Rural;Rural;Fuera SC;Fuera SC;1424095993;230829.5578
801;12It12;Rurality level;20;Cesar;20178;Chiriguaná;Rural;Rural;Fuera SC;Fuera SC;1163518378;211078.7486
802;12It12;Rurality level;20;Cesar;20228;Curumaní;Rural;intermedio;Fuera SC;Fuera SC;944173467.7;142766.3959
803;12It12;Rurality level;20;Cesar;20238;El Copey;Rural;Rural;Fuera SC;Fuera SC;982546450.3;140467.7262
804;12It12;Rurality level;20;Cesar;20250;El Paso;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;839548677;167440.8216
805;12It12;Rurality level;20;Cesar;20295;Gamarra;Rural;Rural;Fuera SC;Fuera SC;331918960.2;102219.5584
806;12It12;Rurality level;20;Cesar;20310;González;Rural;intermedio;Fuera SC;Fuera SC;75929985.35;41548.98952
807;12It12;Rurality level;20;Cesar;20383;La Gloria;Rural;Rural;Fuera SC;Fuera SC;826827063.6;175114.9437
808;12It12;Rurality level;20;Cesar;20400;La Jagua de Ibirico;Rural;intermedio;Fuera SC;Fuera SC;775708046;164087.466
809;12It12;Rurality level;20;Cesar;20443;Manaure;Intermedio;intermedio;Fuera SC;Fuera SC;140257637.3;65236.64271
810;12It12;Rurality level;20;Cesar;20517;Pailitas;Rural;Rural;Fuera SC;Fuera SC;544844889.8;108065.1479
811;12It12;Rurality level;20;Cesar;20550;Pelaya;Rural;Rural;Fuera SC;Fuera SC;432703920.8;119808.376
812;12It12;Rurality level;20;Cesar;20614;Río de Oro;Rural;Rural;Fuera SC;Fuera SC;564294622.1;123726.4757
813;12It12;Rurality level;20;Cesar;20710;San Alberto;Rural;Rural;Fuera SC;Fuera SC;554760960.5;129520.2453
814;12It12;Rurality level;20;Cesar;20750;San Diego;Rural;Rural;Fuera SC;Fuera SC;670206353.1;180932.1925
815;12It12;Rurality level;20;Cesar;20770;San Martín;Rural;Rural;Fuera SC;Fuera SC;1028284406;182387.0259
816;12It12;Rurality level;20;Cesar;20787;Tamalameque;Rural;Rural;Fuera SC;Fuera SC;531668183.7;96896.87755
817;12It12;Rurality level;41;Huila;41001;Neiva;Ciudades y aglomeraciones;Aglomeración;SA-Otros SC;Uninodal;1295900772;275526.6676
818;12It12;Rurality level;41;Huila;41306;Gigante;Intermedio;Rural;Fuera SC;Fuera SC;506651729.3;105465.5852
819;12It12;Rurality level;41;Huila;41319;Guadalupe;Rural;intermedio;Fuera SC;Fuera SC;252926667.8;70514.95908
820;12It12;Rurality level;41;Huila;41349;Hobo;Rural;Rural;Fuera SC;Fuera SC;203453360.6;66304.48043
821;12It12;Rurality level;41;Huila;41357;Iquira;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;361572369.4;99113.1905
822;12It12;Rurality level;41;Huila;41359;Isnos;Rural Disperso;Rural;Fuera SC;Fuera SC;368772355.2;138648.393
823;12It12;Rurality level;41;Huila;41378;La Argentina;Rural;Rural;Fuera SC;Fuera SC;362502433.1;137270.2344
824;12It12;Rurality level;41;Huila;41396;La Plata;Intermedio;intermedio;Fuera SC;Fuera SC;827604108.9;147800.0799
825;12It12;Rurality level;41;Huila;41483;Nátaga;Rural;Rural;Fuera SC;Fuera SC;128728707.6;57361.0702
826;12It12;Rurality level;41;Huila;41503;Oporapa;Rural;Rural;Fuera SC;Fuera SC;155021841.1;63536.00225
827;12It12;Rurality level;41;Huila;41518;Paicol;Rural;Rural;Fuera SC;Fuera SC;281382584.4;93783.24213
828;12It12;Rurality level;41;Huila;41524;Palermo;Rural;Rural;Fuera SC;Fuera SC;884772760.7;167377.7806
829;12It12;Rurality level;41;Huila;41530;Palestina;Rural;Rural;Fuera SC;Fuera SC;173466352.3;65302.22848
830;12It12;Rurality level;41;Huila;41548;Pital;Intermedio;intermedio;Fuera SC;Fuera SC;183735696.1;74052.57345
831;12It12;Rurality level;41;Huila;41551;Pitalito;Intermedio;intermedio;Fuera SC;Fuera SC;638260660.1;138934.8612
832;12It12;Rurality level;41;Huila;41615;Rivera;Rural;intermedio;Fuera SC;Fuera SC;252592443.8;68285.68867
833;12It12;Rurality level;41;Huila;41660;Saladoblanco;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;465843470.9;121891.4366
834;12It12;Rurality level;41;Huila;41668;San Agustín;Rural;Rural;Fuera SC;Fuera SC;1403191964;193074.6381
835;12It12;Rurality level;41;Huila;41676;Santa María;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;340594685.8;86634.71381
836;12It12;Rurality level;41;Huila;41770;Suaza;Rural Disperso;Rural;Fuera SC;Fuera SC;435480817;90548.05587
